"variable","description","data_type"
"hotel","Type of hotel (H1 = Resort Hotel, H2 = City Hotel)","factor"
"is_canceled","Value indicating if the booking was canceled (1) or not (0)","factor"
"lead_time","Number of days between the entering date of the booking into the PMS and the arrival date","numeric"
"arrival_date_year","Year of arrival date","factor"
"arrival_date_month","Month of arrival date","factor"
"stays_in_weekend_nights","Number of weekend nights (Saturday or Sunday) the guest stayed or booked to stay at the hotel","numeric"
"stays_in_week_nights","Number of week nights (Monday to Friday) the guest stayed or booked to stay at the hotel","numeric"
"adults","Number of adults included in the booking","numeric"
"children","Number of children included in the booking","numeric"
"babies","Number of babies included in the booking","numeric"
"meal","Type of meal booked (Undefined/SC = no meal package, BB = Bed & Breakfast, HB = Half board, FB = Full board)","factor"
"market_segment","Market segment designation (e.g., TA = Travel Agents, TO = Tour Operators)","factor"
"distribution_channel","Booking distribution channel (e.g., TA = Travel Agents, TO = Tour Operators)","factor"
"is_repeated_guest","Value indicating if the booking name was from a repeated guest (1) or not (0)","factor"
"previous_cancellations","Number of previous bookings that were canceled by the customer prior to the current booking","numeric"
"previous_bookings_not_canceled","Number of previous bookings not canceled by the customer prior to the current booking","numeric"
"reserved_room_type","Code of room type reserved","factor"
"assigned_room_type","Code for the type of room assigned to the booking","factor"
"booking_changes","Number of changes/amendments made to the booking from the moment the booking was entered on the PMS until the moment of check-in or cancellation","numeric"
"deposit_type","Indication on if the customer made a deposit to guarantee the booking (No Deposit, Non Refund, Refundable)","factor"
"days_in_waiting_list","Number of days the booking was in the waiting list before it was confirmed to the customer","numeric"
"customer_type","Type of booking (Contract, Group, Transient, Transient-party)","factor"
"adr","Average Daily Rate","numeric"
"required_car_parking_spaces","Number of car parking spaces required by the customer","numeric"
"total_of_special_requests","Number of special requests made by the customer","factor"
"reservation_status","Reservation last status (Canceled, Check-Out, No-Show)","numeric"
"tot_book","Total number of bookings made by the customer","factor"
"cancel_rate","Cancellation rate of the customer","numeric"
"room_match","Variable indicating whether the reserved room type matches the assigned room type","factor"
"minors","Number of minors (children and babies) included in the booking","numeric"
